                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5486,                0.46935,                      1,                 1.4519,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.5597,                 0.4162,                      1,                 1.4806,              0.0065317,              0.0065317,              0.0065317
                      3,                 1.4822,                0.47751,                      1,                 1.4603,              0.0096011,              0.0096011,              0.0096011
                      4,                 1.4053,                0.53404,                      1,                 1.4096,               0.009406,               0.009406,               0.009406
                      5,                 1.3041,                0.62082,                      1,                 1.3452,               0.009406,               0.009406,               0.009406
                      6,                  1.234,                0.60908,                      1,                 1.3447,               0.009208,               0.009208,               0.009208
                      7,                 1.2143,                 0.6461,                      1,                 1.3448,                0.00901,                0.00901,                0.00901
                      8,                  1.174,                0.62699,                      1,                 1.3516,               0.008812,               0.008812,               0.008812
                      9,                 1.1503,                0.67695,                      1,                 1.2926,               0.008614,               0.008614,               0.008614
                     10,                 1.1334,                 0.6664,                      1,                 1.3117,               0.008416,               0.008416,               0.008416
                     11,                 1.1116,                0.67994,                      1,                 1.2874,               0.008218,               0.008218,               0.008218
                     12,                 1.0954,                0.70482,                      1,                 1.2671,                0.00802,                0.00802,                0.00802
                     13,                 1.0771,                0.70661,                      1,                 1.2749,               0.007822,               0.007822,               0.007822
                     14,                 1.0589,                0.72552,                      1,                 1.2563,               0.007624,               0.007624,               0.007624
                     15,                 1.0368,                0.73109,                      1,                 1.2436,               0.007426,               0.007426,               0.007426
                     16,                 1.0255,                0.71258,                      1,                 1.2596,               0.007228,               0.007228,               0.007228
                     17,                 1.0164,                 0.7502,                      1,                 1.2346,                0.00703,                0.00703,                0.00703
                     18,                  1.002,                0.76393,                      1,                 1.2059,               0.006832,               0.006832,               0.006832
                     19,                0.98901,                0.75717,                      1,                 1.2171,               0.006634,               0.006634,               0.006634
                     20,                0.97519,                0.77189,                      1,                 1.1887,               0.006436,               0.006436,               0.006436
                     21,                0.97366,                0.77588,                      1,                 1.1945,               0.006238,               0.006238,               0.006238
                     22,                0.95444,                0.77488,                      1,                 1.1975,                0.00604,                0.00604,                0.00604
                     23,                0.93954,                0.79319,                      1,                 1.1792,               0.005842,               0.005842,               0.005842
                     24,                0.92245,                0.77926,                      1,                 1.1848,               0.005644,               0.005644,               0.005644
                     25,                0.91996,                0.78702,                      1,                  1.176,               0.005446,               0.005446,               0.005446
                     26,                0.90409,                0.78543,                      1,                 1.1745,               0.005248,               0.005248,               0.005248
                     27,                0.89818,                0.78921,                      1,                 1.1672,                0.00505,                0.00505,                0.00505
                     28,                0.89032,                0.80454,                      1,                 1.1637,               0.004852,               0.004852,               0.004852
                     29,                0.87549,                0.80971,                      1,                 1.1499,               0.004654,               0.004654,               0.004654
                     30,                0.87126,                0.80892,                      1,                 1.1469,               0.004456,               0.004456,               0.004456
                     31,                0.86299,                0.81529,                      1,                  1.139,               0.004258,               0.004258,               0.004258
                     32,                0.86007,                0.81807,                      1,                 1.1388,                0.00406,                0.00406,                0.00406
                     33,                0.83578,                0.82524,                      1,                 1.1282,               0.003862,               0.003862,               0.003862
                     34,                0.84263,                0.82902,                      1,                 1.1301,               0.003664,               0.003664,               0.003664
                     35,                0.82228,                0.82166,                      1,                 1.1327,               0.003466,               0.003466,               0.003466
                     36,                 0.8142,                0.82683,                      1,                 1.1289,               0.003268,               0.003268,               0.003268
                     37,                0.79881,                0.83121,                      1,                 1.1244,                0.00307,                0.00307,                0.00307
                     38,                0.79112,                0.83161,                      1,                 1.1202,               0.002872,               0.002872,               0.002872
                     39,                0.78202,                0.83519,                      1,                 1.1163,               0.002674,               0.002674,               0.002674
                     40,                0.77324,                0.83937,                      1,                 1.1128,               0.002476,               0.002476,               0.002476
                     41,                0.76648,                0.83997,                      1,                 1.1098,               0.002278,               0.002278,               0.002278
                     42,                0.74953,                0.84395,                      1,                 1.1055,                0.00208,                0.00208,                0.00208
                     43,                0.74345,                0.84455,                      1,                 1.1019,               0.001882,               0.001882,               0.001882
                     44,                0.72192,                0.84773,                      1,                 1.1001,               0.001684,               0.001684,               0.001684
                     45,                0.70561,                 0.8537,                      1,                 1.0964,               0.001486,               0.001486,               0.001486
                     46,                0.69464,                0.85649,                      1,                  1.094,               0.001288,               0.001288,               0.001288
                     47,                0.68616,                 0.8547,                      1,                 1.0928,                0.00109,                0.00109,                0.00109
                     48,                0.68034,                 0.8551,                      1,                 1.0913,               0.000892,               0.000892,               0.000892
                     49,                0.66032,                0.85689,                      1,                 1.0892,               0.000694,               0.000694,               0.000694
                     50,                0.64779,                0.85768,                      1,                  1.088,               0.000496,               0.000496,               0.000496
