epoch,train/loss,val/loss
1,1.5486,1.4519
2,1.5597,1.4806
3,1.4822,1.4603
4,1.4053,1.4096
5,1.3041,1.3452
6,1.234,1.3447
7,1.2143,1.3448
8,1.174,1.3516
9,1.1503,1.2926
10,1.1334,1.3117
11,1.1116,1.2874
12,1.0954,1.2671
13,1.0771,1.2749
14,1.0589,1.2563
15,1.0368,1.2436
16,1.0255,1.2596
17,1.0164,1.2346
18,1.002,1.2059
19,0.98901,1.2171
20,0.97519,1.1887
21,0.97366,1.1945
22,0.95444,1.1975
23,0.93954,1.1792
24,0.92245,1.1848
25,0.91996,1.176
26,0.90409,1.1745
27,0.89818,1.1672
28,0.89032,1.1637
29,0.87549,1.1499
30,0.87126,1.1469
31,0.86299,1.139
32,0.86007,1.1388
33,0.83578,1.1282
34,0.84263,1.1301
35,0.82228,1.1327
36,0.8142,1.1289
37,0.79881,1.1244
38,0.79112,1.1202
39,0.78202,1.1163
40,0.77324,1.1128
41,0.76648,1.1098
42,0.74953,1.1055
43,0.74345,1.1019
44,0.72192,1.1001
45,0.70561,1.0964
46,0.69464,1.094
47,0.68616,1.0928
48,0.68034,1.0913
49,0.66032,1.0892
50,0.64779,1.088
